"","SiteStationYear","year","stationNumber","NEWloc","exp","siteNumber","meanshootlg","SLnbPIED","nbframe","BUBsum","BUBnbPIED","dens","propBUB","vac01","Count","SL01","BUBprop","BUBsum01","region","yearc"
"1207","BRUB_1_2021",2021,1,"BR","UB","BRUB",22.9,10,2,0,10,0.5,0,1,8,1,0,0,"Trondelag",2021
"1208","BRUB_1_2023",2023,1,"BR","UB","BRUB",29.1,10,12,0,10,0.0833333333333333,0,1,40,1,0,0,"Trondelag",2023
"1209","BRUB_10_2008",2008,10,"BR","UB","BRUB",10.2727272727273,11,5,1,11,0.2,0.0909090909090909,1,6,1,0.0909090909090909,1,"Trondelag",2008
"1210","BRUB_10_2010",2010,10,"BR","UB","BRUB",8.9,10,2,0,10,0.5,0,1,15,1,0,0,"Trondelag",2010
"1211","BRUB_10_2012",2012,10,"BR","UB","BRUB",12.6363636363636,11,3,0,11,0.333333333333333,0,1,12,1,0,0,"Trondelag",2012
"1212","BRUB_10_2014",2014,10,"BR","UB","BRUB",8.90909090909091,11,3,0,11,0.333333333333333,0,1,8,1,0,0,"Trondelag",2014
"1213","BRUB_10_2016",2016,10,"BR","UB","BRUB",12.1,10,5,0,10,0.2,0,1,5,1,0,0,"Trondelag",2016
"1214","BRUB_10_2019",2019,10,"BR","UB","BRUB",10.7647058823529,17,4,0,17,0.25,0,1,18,1,0,0,"Trondelag",2019
"1215","BRUB_10_2021",2021,10,"BR","UB","BRUB",14.6666666666667,12,4,0,12,0.25,0,1,17,1,0,0,"Trondelag",2021
"1216","BRUB_10_2023",2023,10,"BR","UB","BRUB",18.3076923076923,13,4,0,13,0.25,0,1,32,1,0,0,"Trondelag",2023
"1217","BRUB_2_2008",2008,2,"BR","UB","BRUB",5,10,12,1,10,0.0833333333333333,0.1,1,1,1,0.1,1,"Trondelag",2008
"1218","BRUB_2_2010",2010,2,"BR","UB","BRUB",7.4,10,4,0,10,0.25,0,1,2,1,0,0,"Trondelag",2010
"1219","BRUB_2_2012",2012,2,"BR","UB","BRUB",10.4545454545455,11,8,0,11,0.125,0,1,4,1,0,0,"Trondelag",2012
