"","SiteStationYear","year","stationNumber","NEWloc","exp","siteNumber","meanshootlg","SLnbPIED","nbframe","BUBsum","BUBnbPIED","dens","propBUB","vac01","Count","SL01","BUBprop","BUBsum01","region","yearc"
"1","1BB_1_2008",2008,1,"1B","B","1BB",12.1666666666667,12,1,0,12,1,0,1,29,1,0,0,"Trondelag",2008
"2","1BB_1_2010",2010,1,"1B","B","1BB",12.1,10,1,7,10,1,0.7,1,20,1,0.7,1,"Trondelag",2010
"3","1BB_1_2012",2012,1,"1B","B","1BB",12.2352941176471,17,1,2,17,1,0.117647058823529,1,54,1,0.117647058823529,1,"Trondelag",2012
"4","1BB_1_2014",2014,1,"1B","B","1BB",14.6,10,1,6,10,1,0.6,1,18,1,0.6,1,"Trondelag",2014
"5","1BB_1_2016",2016,1,"1B","B","1BB",14.5,10,2,0,10,0.5,0,1,15,1,0,0,"Trondelag",2016
"6","1BB_1_2019",2019,1,"1B","B","1BB",7.72222222222222,18,2,2,18,0.5,0.111111111111111,1,17,1,0.111111111111111,1,"Trondelag",2019
"7","1BB_1_2021",2021,1,"1B","B","1BB",12.3076923076923,13,2,0,13,0.5,0,1,19,1,0,0,"Trondelag",2021
"8","1BB_1_2023",2023,1,"1B","B","1BB",17.0909090909091,11,1,0,11,1,0,1,42,1,0,0,"Trondelag",2023
"9","1BB_10_2008",2008,10,"1B","B","1BB",9,13,2,0,13,0.5,0,1,13,1,0,0,"Trondelag",2008
"10","1BB_10_2010",2010,10,"1B","B","1BB",10.2,10,3,2,10,0.333333333333333,0.2,1,15,1,0.2,1,"Trondelag",2010
"11","1BB_10_2012",2012,10,"1B","B","1BB",10.7,10,2,1,10,0.5,0.1,1,20,1,0.1,1,"Trondelag",2012
"12","1BB_10_2014",2014,10,"1B","B","1BB",14,12,2,0,12,0.5,0,1,12,1,0,0,"Trondelag",2014
"13","1BB_10_2016",2016,10,"1B","B","1BB",14.2,10,2,0,10,0.5,0,1,23,1,0,0,"Trondelag",2016
"14","1BB_10_2019",2019,10,"1B","B","1BB",9.5,18,2,7,18,0.5,0.388888888888889,1,10,1,0.388888888888889,1,"Trondelag",2019
"15","1BB_10_2021",2021,10,"1B","B","1BB",13.9,10,1,1,10,1,0.1,1,15,1,0.1,1,"Trondelag",2021
"16","1BB_10_2023",2023,10,"1B","B","1BB",10.8333333333333,12,3,0,12,0.333333333333333,0,1,9,1,0,0,"Trondelag",2023
"17","1BB_2_2008",2008,2,"1B","B","1BB",12.4615384615385,13,1,0,13,1,0,1,18,1,0,0,"Trondelag",2008
"18","1BB_2_2010",2010,2,"1B","B","1BB",13.4,10,1,7,10,1,0.7,1,11,1,0.7,1,"Trondelag",2010
"19","1BB_2_2012",2012,2,"1B","B","1BB",13.2631578947368,19,1,0,19,1,0,1,44,1,0,0,"Trondelag",2012
"20","1BB_2_2014",2014,2,"1B","B","1BB",16.2,10,1,0,10,1,0,1,24,1,0,0,"Trondelag",2014
"21","1BB_2_2016",2016,2,"1B","B","1BB",16.1,10,2,2,10,0.5,0.2,1,18,1,0.2,1,"Trondelag",2016
"22","1BB_2_2019",2019,2,"1B","B","1BB",11.0833333333333,12,1,0,12,1,0,1,33,1,0,0,"Trondelag",2019
"23","1BB_2_2021",2021,2,"1B","B","1BB",17.7857142857143,14,1,0,14,1,0,1,50,1,0,0,"Trondelag",2021
"24","1BB_2_2023",2023,2,"1B","B","1BB",17.7,20,2,0,20,0.5,0,1,55,1,0,0,"Trondelag",2023
"25","1BB_3_2008",2008,3,"1B","B","1BB",17.2,10,1,1,10,1,0.1,1,12,1,0.1,1,"Trondelag",2008
"26","1BB_3_2010",2010,3,"1B","B","1BB",14.6,10,2,9,10,0.5,0.9,1,8,1,0.9,1,"Trondelag",2010
"27","1BB_3_2012",2012,3,"1B","B","1BB",12.6,15,1,0,15,1,0,1,19,1,0,0,"Trondelag",2012
"28","1BB_3_2014",2014,3,"1B","B","1BB",13.3636363636364,11,2,0,11,0.5,0,1,19,1,0,0,"Trondelag",2014
"29","1BB_3_2016",2016,3,"1B","B","1BB",7.2,10,2,3,10,0.5,0.3,1,11,1,0.3,1,"Trondelag",2016
"30","1BB_3_2019",2019,3,"1B","B","1BB",7.08333333333333,12,1,0,12,1,0,1,9,1,0,0,"Trondelag",2019
"31","1BB_3_2021",2021,3,"1B","B","1BB",12.7857142857143,14,1,2,14,1,0.142857142857143,1,16,1,0.142857142857143,1,"Trondelag",2021
"32","1BB_3_2023",2023,3,"1B","B","1BB",12.375,16,2,0,16,0.5,0,1,16,1,0,0,"Trondelag",2023
"33","1BB_4_2008",2008,4,"1B","B","1BB",12.0833333333333,12,2,2,12,0.5,0.166666666666667,1,18,1,0.166666666666667,1,"Trondelag",2008
"34","1BB_4_2010",2010,4,"1B","B","1BB",17.5,10,3,6,10,0.333333333333333,0.6,1,33,1,0.6,1,"Trondelag",2010
"35","1BB_4_2012",2012,4,"1B","B","1BB",12.3125,16,2,2,16,0.5,0.125,1,51,1,0.125,1,"Trondelag",2012
"36","1BB_4_2014",2014,4,"1B","B","1BB",22.6428571428571,14,3,0,14,0.333333333333333,0,1,39,1,0,0,"Trondelag",2014
"37","1BB_4_2016",2016,4,"1B","B","1BB",16.2,10,6,1,10,0.166666666666667,0.1,1,45,1,0.1,1,"Trondelag",2016
"38","1BB_4_2019",2019,4,"1B","B","1BB",12,17,1,1,17,1,0.0588235294117647,1,24,1,0.0588235294117647,1,"Trondelag",2019
"39","1BB_4_2021",2021,4,"1B","B","1BB",12.9411764705882,17,1,5,17,1,0.294117647058824,1,29,1,0.294117647058824,1,"Trondelag",2021
"40","1BB_4_2023",2023,4,"1B","B","1BB",18,11,2,0,11,0.5,0,1,32,1,0,0,"Trondelag",2023
"41","1BB_5_2008",2008,5,"1B","B","1BB",5.92857142857143,14,2,0,14,0.5,0,1,5,1,0,0,"Trondelag",2008
"42","1BB_5_2010",2010,5,"1B","B","1BB",14.7,10,3,6,10,0.333333333333333,0.6,1,10,1,0.6,1,"Trondelag",2010
"43","1BB_5_2012",2012,5,"1B","B","1BB",13.7,10,2,2,10,0.5,0.2,1,31,1,0.2,1,"Trondelag",2012
"44","1BB_5_2014",2014,5,"1B","B","1BB",13.1538461538462,13,1,7,13,1,0.538461538461538,1,18,1,0.538461538461538,1,"Trondelag",2014
"45","1BB_5_2016",2016,5,"1B","B","1BB",10.7,10,2,0,10,0.5,0,1,35,1,0,0,"Trondelag",2016
"46","1BB_5_2019",2019,5,"1B","B","1BB",12.5,10,1,3,10,1,0.3,1,51,1,0.3,1,"Trondelag",2019
"47","1BB_5_2021",2021,5,"1B","B","1BB",28.1,10,3,2,10,0.333333333333333,0.2,1,43,1,0.2,1,"Trondelag",2021
"48","1BB_5_2023",2023,5,"1B","B","1BB",20.7142857142857,14,2,0,14,0.5,0,1,64,1,0,0,"Trondelag",2023
"49","1BB_6_2008",2008,6,"1B","B","1BB",7.63636363636364,11,5,1,11,0.2,0.0909090909090909,1,2,1,0.0909090909090909,1,"Trondelag",2008
"50","1BB_6_2010",2010,6,"1B","B","1BB",10.2,10,5,6,10,0.2,0.6,1,5,1,0.6,1,"Trondelag",2010
"51","1BB_6_2012",2012,6,"1B","B","1BB",13.5454545454545,11,7,0,11,0.142857142857143,0,1,7,1,0,0,"Trondelag",2012
"52","1BB_6_2014",2014,6,"1B","B","1BB",13.6,10,4,1,10,0.25,0.1,1,5,1,0.1,1,"Trondelag",2014
"53","1BB_6_2016",2016,6,"1B","B","1BB",13,10,4,2,10,0.25,0.2,1,11,1,0.2,1,"Trondelag",2016
"54","1BB_6_2019",2019,6,"1B","B","1BB",10,12,3,2,12,0.333333333333333,0.166666666666667,1,19,1,0.166666666666667,1,"Trondelag",2019
"55","1BB_6_2021",2021,6,"1B","B","1BB",11.3,10,7,1,10,0.142857142857143,0.1,1,13,1,0.1,1,"Trondelag",2021
"56","1BB_6_2023",2023,6,"1B","B","1BB",14.8461538461538,13,10,0,13,0.1,0,1,31,1,0,0,"Trondelag",2023
"57","1BB_7_2008",2008,7,"1B","B","1BB",6.45454545454545,11,2,3,11,0.5,0.272727272727273,1,10,1,0.272727272727273,1,"Trondelag",2008
"58","1BB_7_2010",2010,7,"1B","B","1BB",13.7,10,1,2,10,1,0.2,1,9,1,0.2,1,"Trondelag",2010
"59","1BB_7_2012",2012,7,"1B","B","1BB",16.2142857142857,14,2,0,14,0.5,0,1,16,1,0,0,"Trondelag",2012
"60","1BB_7_2014",2014,7,"1B","B","1BB",10.9,10,2,6,10,0.5,0.6,1,5,1,0.6,1,"Trondelag",2014
"61","1BB_7_2016",2016,7,"1B","B","1BB",10.2,10,4,0,10,0.25,0,1,5,1,0,0,"Trondelag",2016
"62","1BB_7_2019",2019,7,"1B","B","1BB",8.15384615384615,13,1,6,13,1,0.461538461538462,0,0,1,0.461538461538462,1,"Trondelag",2019
"63","1BB_7_2021",2021,7,"1B","B","1BB",9.38461538461539,13,2,1,13,0.5,0.0769230769230769,1,6,1,0.0769230769230769,1,"Trondelag",2021
"64","1BB_7_2023",2023,7,"1B","B","1BB",9.5,16,1,0,16,1,0,0,0,1,0,0,"Trondelag",2023
"65","1BB_8_2008",2008,8,"1B","B","1BB",10.4545454545455,11,33,0,11,0.0303030303030303,0,0,0,1,0,0,"Trondelag",2008
"66","1BB_8_2010",2010,8,"1B","B","1BB",9.9,10,28,5,10,0.0357142857142857,0.5,0,0,1,0.5,1,"Trondelag",2010
"67","1BB_8_2012",2012,8,"1B","B","1BB",15.75,16,34,0,16,0.0294117647058824,0,0,0,1,0,0,"Trondelag",2012
"68","1BB_8_2014",2014,8,"1B","B","1BB",15.3,10,85,0,10,0.0117647058823529,0,0,0,1,0,0,"Trondelag",2014
